Date,High,Low
1980-01-02 16:00:00,148.17,148.17
1980-01-03 16:00:00,145.97,145.97
1980-01-04 16:00:00,148.02,148.02
1980-01-07 16:00:00,148.62,148.62
1980-01-08 16:00:00,150.68,150.68
1980-01-09 16:00:00,151.6,151.6
1980-01-10 16:00:00,153.12,153.12
1980-01-11 16:00:00,153.87,153.87
1980-01-14 16:00:00,154.4,154.4
1980-01-15 16:00:00,154.96,154.96
1980-01-16 16:00:00,155.99,155.99
1980-01-17 16:00:00,155.81,155.81
1980-01-18 16:00:00,156.14,156.14
1980-01-21 16:00:00,157.35,157.35
1980-01-22 16:00:00,156.92,156.92
1980-01-23 16:00:00,158.5,158.5
1980-01-24 16:00:00,159.24,159.24
1980-01-25 16:00:00,159.7,159.7
1980-01-28 16:00:00,160.7,160.7
1980-01-29 16:00:00,160.29,160.29
1980-01-30 16:00:00,161.3,161.3
1980-01-31 16:00:00,161.75,161.75
1980-02-01 16:00:00,162.3,162.3
1980-02-04 16:00:00,162.02,162.02
1980-02-05 16:00:00,162.2,162.2
1980-02-06 16:00:00,162.99,162.99
1980-02-07 16:00:00,163.77,163.77
1980-02-08 16:00:00,165.25,165.25
1980-02-11 16:00:00,164.46,164.46
1980-02-12 16:00:00,164.57,164.57
1980-02-13 16:00:00,164.98,164.98
1980-02-14 16:00:00,163.54,163.54
1980-02-15 16:00:00,162.56,162.56
1980-02-19 16:00:00,161.06,161.06
1980-02-20 16:00:00,162.1,162.1
1980-02-21 16:00:00,161.31,161.31
1980-02-22 16:00:00,160.08,160.08
1980-02-25 16:00:00,157.97,157.97
1980-02-26 16:00:00,158.5,158.5
1980-02-27 16:00:00,157.73,157.73
1980-02-28 16:00:00,157.46,157.46
1980-02-29 16:00:00,158.03,158.03
1980-03-03 16:00:00,156.87,156.87
1980-03-04 16:00:00,155.39,155.39
1980-03-05 16:00:00,152.94,152.94
1980-03-06 16:00:00,148.64,148.64
1980-03-07 16:00:00,146.19,146.19
1980-03-10 16:00:00,143.75,143.75
1980-03-11 16:00:00,144.56,144.56
1980-03-12 16:00:00,144.63,144.63
1980-03-13 16:00:00,144.98,144.98
1980-03-14 16:00:00,144.44,144.44
1980-03-17 16:00:00,139.7,139.7
1980-03-18 16:00:00,138.92,138.92
1980-03-19 16:00:00,139.97,139.97
1980-03-20 16:00:00,139.64,139.64
1980-03-21 16:00:00,138.8,138.8
1980-03-24 16:00:00,134.61,134.61
1980-03-25 16:00:00,132.52,132.52
1980-03-26 16:00:00,132.22,132.22
1980-03-27 16:00:00,124.09,124.09
1980-03-28 16:00:00,129.25,129.25
1980-03-31 16:00:00,131,131
1980-04-01 16:00:00,133.14,133.14
1980-04-02 16:00:00,135.8,135.8
1980-04-03 16:00:00,136.01,136.01
1980-04-07 16:00:00,133.4,133.4
1980-04-08 16:00:00,134.37,134.37
1980-04-09 16:00:00,136.04,136.04
1980-04-10 16:00:00,137.28,137.28
1980-04-11 16:00:00,137.75,137.75
1980-04-14 16:00:00,136.67,136.67
1980-04-15 16:00:00,136.39,136.39
1980-04-16 16:00:00,135.76,135.76
1980-04-17 16:00:00,134.55,134.55
1980-04-18 16:00:00,134.66,134.66
1980-04-21 16:00:00,133.08,133.08
1980-04-22 16:00:00,135.71,135.71
1980-04-23 16:00:00,136.92,136.92
1980-04-24 16:00:00,138.69,138.69
1980-04-25 16:00:00,137.92,137.92
1980-04-28 16:00:00,138.54,138.54
1980-04-29 16:00:00,139.35,139.35
1980-04-30 16:00:00,139.99,139.99
1980-05-01 16:00:00,139.68,139.68
1980-05-02 16:00:00,140.25,140.25
1980-05-05 16:00:00,141.04,141.04
1980-05-06 16:00:00,142.23,142.23
1980-05-07 16:00:00,143.58,143.58
1980-05-08 16:00:00,143.26,143.26
1980-05-09 16:00:00,143.06,143.06
1980-05-12 16:00:00,142.96,142.96
1980-05-13 16:00:00,144.1,144.1
1980-05-14 16:00:00,145.66,145.66
1980-05-15 16:00:00,146.62,146.62
1980-05-16 16:00:00,147.24,147.24
1980-05-19 16:00:00,147.24,147.24
1980-05-20 16:00:00,146.93,146.93
1980-05-21 16:00:00,146.75,146.75
1980-05-22 16:00:00,147.96,147.96
1980-05-23 16:00:00,149.48,149.48
1980-05-27 16:00:00,150.1,150.1
1980-05-28 16:00:00,150.7,150.7
1980-05-29 16:00:00,150.09,150.09
1980-05-30 16:00:00,150.45,150.45
1980-06-02 16:00:00,150.17,150.17
1980-06-03 16:00:00,149.92,149.92
1980-06-04 16:00:00,151.21,151.21
1980-06-05 16:00:00,152.21,152.21
1980-06-06 16:00:00,152.68,152.68
1980-06-09 16:00:00,153,153
1980-06-10 16:00:00,154.15,154.15
1980-06-11 16:00:00,155.22,155.22
1980-06-12 16:00:00,155.31,155.31
1980-06-13 16:00:00,156.59,156.59
1980-06-16 16:00:00,156.79,156.79
1980-06-17 16:00:00,156.98,156.98
1980-06-18 16:00:00,157.19,157.19
1980-06-19 16:00:00,156.73,156.73
1980-06-20 16:00:00,156.51,156.51
1980-06-23 16:00:00,156.99,156.99
