Date,High,Low
1999-03-10 16:00:00,50.96,50.96
1999-03-11 16:00:00,51.52,50.1
1999-03-12 16:00:00,50.94,49.45
1999-03-15 16:00:00,51.51,49.7
1999-03-16 16:00:00,51.94,50.94
1999-03-17 16:00:00,51.78,51.19
1999-03-18 16:00:00,52.57,51.27
1999-03-19 16:00:00,53.03,50.98
1999-03-22 16:00:00,51.35,50.29
1999-03-23 16:00:00,50.29,48.52
1999-03-24 16:00:00,50.34,48.3
1999-03-25 16:00:00,52.1,50.7
1999-03-26 16:00:00,52.25,51.32
1999-03-29 16:00:00,53.62,51.85
1999-03-30 16:00:00,53.78,52.81
1999-03-31 16:00:00,53.96,52.1
1999-04-01 16:00:00,53.84,52.47
1999-04-02 16:00:00,53.65,53.65
1999-04-05 16:00:00,55.49,53.87
1999-04-06 16:00:00,55.99,54.74
1999-04-07 16:00:00,56.02,53.62
1999-04-08 16:00:00,55.62,53.59
1999-04-09 16:00:00,55.81,54.99
1999-04-12 16:00:00,55.58,54.21
1999-04-13 16:00:00,55.68,54.03
1999-04-14 16:00:00,55.21,52.29
1999-04-15 16:00:00,53.4,50.91
1999-04-16 16:00:00,53.19,51.47
1999-04-19 16:00:00,52.53,48.81
1999-04-20 16:00:00,50.85,48.64
1999-04-21 16:00:00,52.97,50.23
1999-04-22 16:00:00,54.58,53.08
1999-04-23 16:00:00,55.49,53.53
1999-04-26 16:00:00,56.76,55.28
1999-04-27 16:00:00,57.04,54.78
1999-04-28 16:00:00,55.21,53.35
1999-04-29 16:00:00,53.65,52.03
1999-04-30 16:00:00,54.18,51.6
1999-05-03 16:00:00,53.56,52.32
1999-05-04 16:00:00,54.15,52.07
1999-05-05 16:00:00,54.19,51.13
1999-05-06 16:00:00,54.16,51.76
1999-05-07 16:00:00,53.13,51.56
1999-05-10 16:00:00,53.86,52.69
1999-05-11 16:00:00,54.63,53.63
1999-05-12 16:00:00,55.66,53.13
1999-05-13 16:00:00,56,54.19
1999-05-14 16:00:00,53.97,53
1999-05-17 16:00:00,54.5,52.41
1999-05-18 16:00:00,54.63,53.53
1999-05-19 16:00:00,54.91,53.5
1999-05-20 16:00:00,54.88,53.28
1999-05-21 16:00:00,53.69,52.59
1999-05-24 16:00:00,54.25,51.19
