Date,High,Low
1980-01-02 16:00:00,108.43,105.29
1980-01-03 16:00:00,106.08,103.26
1980-01-04 16:00:00,107.08,105.09
1980-01-07 16:00:00,107.8,105.8
1980-01-08 16:00:00,109.29,106.29
1980-01-09 16:00:00,111.09,108.41
1980-01-10 16:00:00,110.86,108.47
1980-01-11 16:00:00,111.16,108.89
1980-01-14 16:00:00,111.44,109.34
1980-01-15 16:00:00,111.93,109.45
1980-01-16 16:00:00,112.9,110.38
1980-01-17 16:00:00,112.01,109.81
1980-01-18 16:00:00,111.74,109.88
1980-01-21 16:00:00,112.9,110.66
1980-01-22 16:00:00,113.1,110.92
1980-01-23 16:00:00,113.93,110.93
1980-01-24 16:00:00,115.27,112.95
1980-01-25 16:00:00,114.45,112.36
1980-01-28 16:00:00,115.65,112.93
1980-01-29 16:00:00,115.77,113.03
1980-01-30 16:00:00,115.85,113.37
1980-01-31 16:00:00,117.17,113.78
1980-02-01 16:00:00,115.54,113.13
1980-02-04 16:00:00,116.01,113.83
1980-02-05 16:00:00,115.25,112.15
1980-02-06 16:00:00,116.57,113.65
1980-02-07 16:00:00,117.87,115.22
1980-02-08 16:00:00,118.66,115.72
1980-02-11 16:00:00,119.05,116.31
1980-02-12 16:00:00,118.41,115.75
1980-02-13 16:00:00,120.22,117.57
1980-02-14 16:00:00,119.3,116.04
1980-02-15 16:00:00,116.7,114.12
1980-02-19 16:00:00,115.67,113.35
1980-02-20 16:00:00,117.18,114.06
1980-02-21 16:00:00,117.9,114.44
1980-02-22 16:00:00,116.46,113.43
1980-02-25 16:00:00,114.93,112.62
1980-02-26 16:00:00,114.76,112.3
1980-02-27 16:00:00,115.12,111.91
1980-02-28 16:00:00,113.7,111.33
1980-02-29 16:00:00,114.12,111.77
1980-03-03 16:00:00,114.34,112.01
1980-03-04 16:00:00,113.41,110.83
1980-03-05 16:00:00,113.94,110.58
1980-03-06 16:00:00,111.29,107.85
1980-03-07 16:00:00,108.96,105.99
1980-03-10 16:00:00,107.86,104.92
1980-03-11 16:00:00,108.54,106.18
1980-03-12 16:00:00,108.4,105.42
1980-03-13 16:00:00,107.55,105.1
1980-03-14 16:00:00,106.49,104.01
1980-03-17 16:00:00,105.23,101.82
1980-03-18 16:00:00,104.71,101.14
1980-03-19 16:00:00,105.72,103.35
1980-03-20 16:00:00,105.17,102.52
1980-03-21 16:00:00,103.73,101.55
1980-03-24 16:00:00,102.18,98.88
1980-03-25 16:00:00,100.58,97.89
1980-03-26 16:00:00,101.22,98.1
1980-03-27 16:00:00,99.58,94.23
1980-03-28 16:00:00,101.43,97.72
1980-03-31 16:00:00,102.65,100.02
1980-04-01 16:00:00,103.28,100.85
1980-04-02 16:00:00,103.87,101.45
1980-04-03 16:00:00,103.34,101.31
1980-04-07 16:00:00,102.27,99.73
1980-04-08 16:00:00,101.88,99.23
1980-04-09 16:00:00,103.6,101.01
1980-04-10 16:00:00,105,102.81
1980-04-11 16:00:00,105.15,103.2
1980-04-14 16:00:00,103.92,102.08
1980-04-15 16:00:00,103.94,101.85
1980-04-16 16:00:00,104.42,101.13
1980-04-17 16:00:00,102.21,100.12
1980-04-18 16:00:00,102.07,99.97
1980-04-21 16:00:00,101.26,98.95
1980-04-22 16:00:00,104.02,100.81
1980-04-23 16:00:00,105.11,102.81
1980-04-24 16:00:00,105.43,102.93
1980-04-25 16:00:00,105.57,103.02
1980-04-28 16:00:00,106.79,104.64
1980-04-29 16:00:00,106.7,104.86
1980-04-30 16:00:00,106.72,104.5
1980-05-01 16:00:00,106.86,104.72
1980-05-02 16:00:00,106.25,104.61
1980-05-05 16:00:00,106.83,104.64
1980-05-06 16:00:00,107.83,105.36
1980-05-07 16:00:00,108.12,105.83
1980-05-08 16:00:00,108.02,105.5
1980-05-09 16:00:00,106.2,104.18
1980-05-12 16:00:00,105.48,103.5
1980-05-13 16:00:00,106.76,104.44
1980-05-14 16:00:00,107.89,106
1980-05-15 16:00:00,107.99,106.07
1980-05-16 16:00:00,107.89,106.25
1980-05-19 16:00:00,108.43,106.51
1980-05-20 16:00:00,108.39,106.75
1980-05-21 16:00:00,108.31,106.54
1980-05-22 16:00:00,109.73,107.34
1980-05-23 16:00:00,111.37,109.01
1980-05-26 16:00:00,111.4,111.4
1980-05-27 16:00:00,112.3,110.35
1980-05-28 16:00:00,112.72,110.42
1980-05-29 16:00:00,112.64,109.86
1980-05-30 16:00:00,111.55,108.87
1980-06-02 16:00:00,112.15,110.06
1980-06-03 16:00:00,111.63,109.77
1980-06-04 16:00:00,113.45,110.22
1980-06-05 16:00:00,114.38,111.89
1980-06-06 16:00:00,114.01,112.11
1980-06-09 16:00:00,114.51,112.68
1980-06-10 16:00:00,115.5,113.17
1980-06-11 16:00:00,116.64,114.22
1980-06-12 16:00:00,117.01,114.28
1980-06-13 16:00:00,116.94,114.67
1980-06-16 16:00:00,116.8,114.78
1980-06-17 16:00:00,117.16,115.13
1980-06-18 16:00:00,116.84,114.77
1980-06-19 16:00:00,116.81,114.36
1980-06-20 16:00:00,114.9,113.12
1980-06-23 16:00:00,115.28,113.35
1980-06-24 16:00:00,115.75,113.76
1980-06-25 16:00:00,117.37,115.07
1980-06-26 16:00:00,117.98,115.58
1980-06-27 16:00:00,116.93,115.06
1980-06-30 16:00:00,116.04,113.55
1980-07-01 16:00:00,115.45,113.54
1980-07-02 16:00:00,116.44,114.36
1980-07-03 16:00:00,117.8,115.49
1980-07-07 16:00:00,118.85,116.96
1980-07-08 16:00:00,119.11,117.07
1980-07-09 16:00:00,119.52,117.1
1980-07-10 16:00:00,118.57,116.38
1980-07-11 16:00:00,118.38,116.29
1980-07-14 16:00:00,120.37,117.45
1980-07-15 16:00:00,121.56,118.85
1980-07-16 16:00:00,120.87,118.54
1980-07-17 16:00:00,121.84,119.43
1980-07-18 16:00:00,123.19,120.88
1980-07-21 16:00:00,123.15,120.85
1980-07-22 16:00:00,123.9,121.38
1980-07-23 16:00:00,123.26,120.93
1980-07-24 16:00:00,122.98,120.83
1980-07-25 16:00:00,121.96,119.94
1980-07-28 16:00:00,122.02,119.78
1980-07-29 16:00:00,122.99,120.76
1980-07-30 16:00:00,123.93,121.16
1980-07-31 16:00:00,122.34,119.4
1980-08-01 16:00:00,122.38,120.08
1980-08-04 16:00:00,121.63,119.42
1980-08-05 16:00:00,122.09,119.96
1980-08-06 16:00:00,122.01,119.94
1980-08-07 16:00:00,123.84,121.66
1980-08-08 16:00:00,125.23,122.82
1980-08-11 16:00:00,125.31,122.85
1980-08-12 16:00:00,125.78,123.29
1980-08-13 16:00:00,124.67,122.49
1980-08-14 16:00:00,125.62,122.68
1980-08-15 16:00:00,126.61,124.57
1980-08-18 16:00:00,125.28,122.82
1980-08-19 16:00:00,124,121.97
1980-08-20 16:00:00,124.27,121.91
1980-08-21 16:00:00,125.99,123.61
1980-08-22 16:00:00,127.78,125.18
1980-08-25 16:00:00,126.28,124.65
1980-08-26 16:00:00,126.29,124.01
1980-08-27 16:00:00,124.98,122.93
1980-08-28 16:00:00,123.91,121.61
1980-08-29 16:00:00,123.01,121.06
1980-09-02 16:00:00,124.36,121.79
1980-09-03 16:00:00,126.43,123.87
1980-09-04 16:00:00,127.7,124.42
1980-09-05 16:00:00,126.12,124.08
1980-09-08 16:00:00,125.67,122.78
1980-09-09 16:00:00,124.52,121.94
1980-09-10 16:00:00,125.95,123.6
1980-09-11 16:00:00,126.48,124.19
1980-09-12 16:00:00,126.75,124.72
1980-09-15 16:00:00,126.35,124.09
1980-09-16 16:00:00,127.78,125.15
1980-09-17 16:00:00,129.68,126.37
1980-09-18 16:00:00,130.38,127.63
1980-09-19 16:00:00,130.33,127.57
1980-09-22 16:00:00,130.99,127.89
1980-09-23 16:00:00,132.17,128.55
1980-09-24 16:00:00,131.34,128.45
1980-09-25 16:00:00,131.53,128.13
1980-09-26 16:00:00,128.17,125.29
1980-09-29 16:00:00,125.41,122.87
1980-09-30 16:00:00,126.09,123.54
1980-10-01 16:00:00,127.88,124.66
1980-10-02 16:00:00,128.82,126.04
1980-10-03 16:00:00,130.44,127.65
1980-10-06 16:00:00,132.38,129.35
1980-10-07 16:00:00,132.88,130.1
1980-10-08 16:00:00,132.78,130.28
1980-10-09 16:00:00,132.65,130.25
1980-10-10 16:00:00,132.15,129.58
1980-10-13 16:00:00,132.46,129.37
1980-10-14 16:00:00,133.57,131.16
1980-10-15 16:00:00,134.35,131.59
1980-10-16 16:00:00,135.88,131.64
1980-10-17 16:00:00,133.07,130.22
1980-10-20 16:00:00,133.21,130.04
1980-10-21 16:00:00,134.01,130.78
1980-10-22 16:00:00,132.97,130.62
1980-10-23 16:00:00,132.54,128.87
1980-10-24 16:00:00,130.55,128.04
1980-10-27 16:00:00,129.94,127.34
1980-10-28 16:00:00,128.86,126.36
1980-10-29 16:00:00,129.91,127.07
1980-10-30 16:00:00,128.71,125.78
1980-10-31 16:00:00,128.24,125.29
1980-11-03 16:00:00,129.85,127.23
1980-11-04 16:00:00,131.33,131.33
1980-11-05 16:00:00,135.65,130.77
1980-11-06 16:00:00,131.3,128.23
1980-11-07 16:00:00,130.08,127.74
1980-11-10 16:00:00,130.51,128.19
1980-11-11 16:00:00,132.3,129.48
1980-11-12 16:00:00,135.12,131.33
1980-11-13 16:00:00,137.21,134.12
1980-11-14 16:00:00,138.96,135.12
1980-11-17 16:00:00,138.46,134.9
1980-11-18 16:00:00,140.92,137.91
1980-11-19 16:00:00,141.76,138.06
1980-11-20 16:00:00,141.24,137.79
1980-11-21 16:00:00,141.24,138.1
1980-11-24 16:00:00,139.36,136.36
1980-11-25 16:00:00,140.83,137.42
1980-11-26 16:00:00,141.96,138.6
1980-11-27 16:00:00,140.52,140.52
1980-11-28 16:00:00,141.54,139
1980-12-01 16:00:00,140.66,136.75
1980-12-02 16:00:00,138.11,134.37
1980-12-03 16:00:00,138.09,135.43
1980-12-04 16:00:00,138.4,135.09
1980-12-05 16:00:00,136.37,132.91
1980-12-08 16:00:00,133.19,129.71
1980-12-09 16:00:00,131.92,128.77
1980-12-10 16:00:00,131.99,127.94
1980-12-11 16:00:00,128.73,125.32
1980-12-12 16:00:00,129.98,127.15
1980-12-15 16:00:00,131.33,128.64
1980-12-16 16:00:00,131.22,128.33
1980-12-17 16:00:00,133.59,130.22
1980-12-18 16:00:00,135.9,131.89
1980-12-19 16:00:00,134,131.8
1980-12-22 16:00:00,136.68,132.88
1980-12-23 16:00:00,137.48,134.01
1980-12-24 16:00:00,136.55,134.15
1980-12-26 16:00:00,137.02,135.2
1980-12-29 16:00:00,137.51,134.36
1980-12-30 16:00:00,136.51,134.04
1980-12-31 16:00:00,136.76,134.29
1981-01-02 16:00:00,137.1,134.61
1981-01-05 16:00:00,139.24,135.86
1981-01-06 16:00:00,140.32,135.78
1981-01-07 16:00:00,136.02,132.3
1981-01-08 16:00:00,136.1,131.96
1981-01-09 16:00:00,134.76,131.71
1981-01-12 16:00:00,135.88,132.79
1981-01-13 16:00:00,134.27,131.69
1981-01-14 16:00:00,135.25,132.65
1981-01-15 16:00:00,135.15,132.44
1981-01-16 16:00:00,135.91,133.35
1981-01-19 16:00:00,135.86,133.51
1981-01-20 16:00:00,135.3,131.26
1981-01-21 16:00:00,132.48,129.93
1981-01-22 16:00:00,132.08,129.23
1981-01-23 16:00:00,131.34,129
1981-01-26 16:00:00,131.18,128.57
1981-01-27 16:00:00,131.95,129.32
1981-01-28 16:00:00,132.41,129.82
1981-01-29 16:00:00,131.78,128.97
1981-01-30 16:00:00,131.65,128.61
1981-02-02 16:00:00,129.48,125.82
1981-02-03 16:00:00,128.92,125.89
1981-02-04 16:00:00,129.71,127.29
1981-02-05 16:00:00,130.49,127.99
1981-02-06 16:00:00,131.81,129.03
1981-02-09 16:00:00,131.39,128.61
1981-02-10 16:00:00,130.19,128.05
1981-02-11 16:00:00,129.92,127.6
1981-02-12 16:00:00,128.95,126.78
1981-02-13 16:00:00,128.34,126.04
1981-02-16 16:00:00,128.37,128.37
1981-02-17 16:00:00,128.75,126.43
1981-02-18 16:00:00,129.25,127.09
1981-02-19 16:00:00,129.07,125.98
1981-02-20 16:00:00,127.65,124.66
1981-02-23 16:00:00,128.28,125.69
1981-02-24 16:00:00,128.76,126.49
1981-02-25 16:00:00,129.21,125.77
1981-02-26 16:00:00,130.93,128.02
1981-02-27 16:00:00,132.02,129.35
1981-03-02 16:00:00,132.96,130.15
1981-03-03 16:00:00,132.72,129.66
1981-03-04 16:00:00,132.07,129.57
1981-03-05 16:00:00,131.82,129.25
1981-03-06 16:00:00,131.18,128.56
1981-03-09 16:00:00,131.94,129.39
1981-03-10 16:00:00,132.64,129.72
1981-03-11 16:00:00,131.2,128.72
1981-03-12 16:00:00,133.56,129.76
1981-03-13 16:00:00,135.53,132.39
1981-03-16 16:00:00,135.35,132.1
1981-03-17 16:00:00,136.09,132.8
1981-03-18 16:00:00,135.66,132.8
1981-03-19 16:00:00,135.37,132.37
1981-03-20 16:00:00,135.29,132.5
1981-03-23 16:00:00,136.5,133.41
