Date,High,Low
1993-01-29 16:00:00,43.97,43.75
1993-02-01 16:00:00,44.25,43.97
1993-02-02 16:00:00,44.38,44.13
1993-02-03 16:00:00,44.84,44.38
1993-02-04 16:00:00,45.09,44.88
1993-02-05 16:00:00,45.06,44.72
1993-02-08 16:00:00,45.13,44.91
1993-02-09 16:00:00,44.81,44.56
1993-02-10 16:00:00,44.75,44.53
1993-02-11 16:00:00,45.13,44.78
1993-02-12 16:00:00,44.88,44.59
1993-02-16 16:00:00,44.47,43.41
1993-02-17 16:00:00,43.53,43.28
1993-02-18 16:00:00,43.94,42.81
1993-02-19 16:00:00,43.56,43.34
1993-02-22 16:00:00,43.78,43.56
1993-02-23 16:00:00,43.88,43.47
1993-02-24 16:00:00,44.25,43.72
1993-02-25 16:00:00,44.38,44.13
1993-02-26 16:00:00,44.44,44.19
1993-03-01 16:00:00,44.56,44.22
1993-03-02 16:00:00,44.94,44.25
1993-03-03 16:00:00,45.16,44.94
1993-03-04 16:00:00,45.19,44.88
1993-03-05 16:00:00,45.13,44.72
1993-03-08 16:00:00,45.75,44.84
1993-03-09 16:00:00,45.69,45.5
1993-03-10 16:00:00,45.69,45.41
1993-03-11 16:00:00,45.84,45.5
1993-03-12 16:00:00,45.22,44.81
1993-03-15 16:00:00,45.31,45.06
1993-03-16 16:00:00,45.44,45.31
1993-03-17 16:00:00,45.25,44.97
1993-03-18 16:00:00,45.5,45.22
1993-03-19 16:00:00,45.28,45.03
1993-03-22 16:00:00,44.88,44.56
1993-03-23 16:00:00,44.94,44.81
1993-03-24 16:00:00,45.06,44.59
1993-03-25 16:00:00,45.25,44.84
1993-03-26 16:00:00,45.16,44.88
1993-03-29 16:00:00,45.31,44.94
1993-03-30 16:00:00,45.22,45.09
1993-03-31 16:00:00,45.47,45.19
1993-04-01 16:00:00,45.25,44.94
1993-04-02 16:00:00,44.66,44.09
1993-04-05 16:00:00,44.44,44.19
1993-04-06 16:00:00,44.41,44.06
1993-04-07 16:00:00,44.34,44.16
1993-04-08 16:00:00,44.53,44.09
1993-04-12 16:00:00,44.94,44.66
1993-04-13 16:00:00,45.16,44.84
1993-04-14 16:00:00,45.06,44.91
1993-04-15 16:00:00,45.03,44.75
1993-04-16 16:00:00,45.03,44.88
1993-04-19 16:00:00,45.06,44.72
1993-04-20 16:00:00,44.75,44.25
1993-04-21 16:00:00,44.63,44.38
1993-04-22 16:00:00,44.69,43.94
1993-04-23 16:00:00,43.97,43.69
1993-04-26 16:00:00,43.94,43.28
1993-04-27 16:00:00,43.88,43.34
1993-04-28 16:00:00,43.91,43.72
1993-04-29 16:00:00,43.97,43.63
1993-04-30 16:00:00,44.28,44.03
1993-05-03 16:00:00,44.31,43.91
1993-05-04 16:00:00,44.63,44.34
1993-05-05 16:00:00,44.75,44.47
1993-05-06 16:00:00,44.56,44.41
1993-05-07 16:00:00,44.47,44.28
1993-05-10 16:00:00,44.69,44.41
1993-05-11 16:00:00,44.63,44.31
1993-05-12 16:00:00,44.59,44.44
1993-05-13 16:00:00,44.38,44
1993-05-14 16:00:00,44.16,43.97
1993-05-17 16:00:00,44.16,43.94
1993-05-18 16:00:00,44.22,43.97
1993-05-19 16:00:00,45.03,43.84
1993-05-20 16:00:00,45.16,44.94
1993-05-21 16:00:00,45.25,44.72
1993-05-24 16:00:00,45.09,44.84
1993-05-25 16:00:00,45.13,45.03
1993-05-26 16:00:00,45.63,45.13
1993-05-27 16:00:00,45.66,45.38
1993-05-28 16:00:00,45.41,45
1993-06-01 16:00:00,45.81,45.31
1993-06-02 16:00:00,45.75,45.34
1993-06-03 16:00:00,45.5,45.34
1993-06-04 16:00:00,45.31,45.09
1993-06-07 16:00:00,45.38,45.13
1993-06-08 16:00:00,45,44.72
1993-06-09 16:00:00,45.06,44.81
1993-06-10 16:00:00,44.94,44.75
1993-06-11 16:00:00,45.16,44.91
1993-06-14 16:00:00,45.19,45.03
1993-06-15 16:00:00,45.13,44.94
1993-06-16 16:00:00,45.03,44.81
1993-06-17 16:00:00,45.19,45.03
1993-06-18 16:00:00,44.84,44.5
1993-06-21 16:00:00,44.63,44.53
1993-06-22 16:00:00,44.66,44.56
1993-06-23 16:00:00,44.63,44.22
1993-06-24 16:00:00,44.81,44.34
1993-06-25 16:00:00,44.91,44.75
1993-06-28 16:00:00,45.28,44.94
1993-06-29 16:00:00,45.22,45
1993-06-30 16:00:00,45.22,45
1993-07-01 16:00:00,45.13,44.88
1993-07-02 16:00:00,44.81,44.53
1993-07-06 16:00:00,44.75,44.16
1993-07-07 16:00:00,44.41,44.19
1993-07-08 16:00:00,44.94,44.31
1993-07-09 16:00:00,44.97,44.75
1993-07-12 16:00:00,44.97,44.84
1993-07-13 16:00:00,45.09,44.66
1993-07-14 16:00:00,45.19,44.91
1993-07-15 16:00:00,45.03,44.78
1993-07-16 16:00:00,44.94,44.69
1993-07-19 16:00:00,44.75,44.59
1993-07-20 16:00:00,44.84,44.47
1993-07-21 16:00:00,44.81,44.66
1993-07-22 16:00:00,44.81,44.5
1993-07-23 16:00:00,44.72,44.56
1993-07-26 16:00:00,45.06,44.84
1993-07-27 16:00:00,45.03,44.78
1993-07-28 16:00:00,44.94,44.78
1993-07-29 16:00:00,45.22,44.88
1993-07-30 16:00:00,45.09,44.78
1993-08-02 16:00:00,45.13,44.91
1993-08-03 16:00:00,45.19,44.84
