Date,High,Low
2010-09-09 16:00:00,102.5,101.14
2010-09-10 16:00:00,101.86,101.3
2010-09-13 16:00:00,103.14,102.5
2010-09-14 16:00:00,103.48,102.38
2010-09-15 16:00:00,103.38,102.4
2010-09-16 16:00:00,103.32,102.7
2010-09-17 16:00:00,103.88,103.02
2010-09-20 16:00:00,105.04,103.46
2010-09-21 16:00:00,105.44,104.28
2010-09-22 16:00:00,105.04,103.96
2010-09-23 16:00:00,104.34,103.12
2010-09-24 16:00:00,104.9,103.87
2010-09-27 16:00:00,104.98,104.34
2010-09-28 16:00:00,105.02,103.42
2010-09-29 16:00:00,104.91,104.22
2010-09-30 16:00:00,105.68,103.96
2010-10-01 16:00:00,105.16,104.16
2010-10-04 16:00:00,105.26,103.5
2010-10-05 16:00:00,106.2,104.82
2010-10-06 16:00:00,106.28,105.62
2010-10-07 16:00:00,106.5,105.32
2010-10-08 16:00:00,106.74,105.66
2010-10-11 16:00:00,106.84,106.28
2010-10-12 16:00:00,107.24,105.74
2010-10-13 16:00:00,108.28,107.24
2010-10-14 16:00:00,107.82,106.8
2010-10-15 16:00:00,108.08,106.72
2010-10-18 16:00:00,108.44,107.44
2010-10-19 16:00:00,107.68,106.02
2010-10-20 16:00:00,108.16,106.94
2010-10-21 16:00:00,108.76,107.31
2010-10-22 16:00:00,108.2,107.94
2010-10-25 16:00:00,109.28,108.46
2010-10-26 16:00:00,108.55,107.88
2010-10-27 16:00:00,108.22,107.22
2010-10-28 16:00:00,108.82,107.76
2010-10-29 16:00:00,108.42,108
2010-11-01 16:00:00,109.42,107.76
2010-11-02 16:00:00,109.42,108.86
2010-11-03 16:00:00,109.66,108.32
2010-11-04 16:00:00,111.8,110.74
2010-11-05 16:00:00,112.3,111.68
2010-11-08 16:00:00,112.08,111.5
2010-11-09 16:00:00,112.3,110.8
2010-11-10 16:00:00,111.6,110.32
2010-11-11 16:00:00,111.28,110.42
2010-11-12 16:00:00,110.86,109.38
2010-11-15 16:00:00,110.52,109.64
2010-11-16 16:00:00,109.02,107.47
2010-11-17 16:00:00,108.45,107.78
2010-11-18 16:00:00,109.92,109.08
2010-11-19 16:00:00,109.94,109.03
2010-11-22 16:00:00,109.8,108.58
2010-11-23 16:00:00,108.64,107.92
